TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-02-12,2026-02-12,CM,NSE,STK,2003,IN0020200385,SGBJAN29X,GB,,,,,2.50%GOLDBONDS2029SR-X,15810.68,15845.0,15810.68,15822.0,15822.0,15811.68,,15822.0,,,33,522471.26,16,F1,1,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,2200,IN0020200393,SGBFEB29XI,GB,,,,,2.50%GOLDBONDS2029SR-XI,15838.0,15890.0,15795.0,15848.32,15849.99,15839.0,,15848.32,,,66,1045278.22,30,F1,1,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,2810,IN0020200427,SGBMR29XII,GB,,,,,2.50%GOLDBONDS2029SR-XII,15896.0,15896.0,15750.0,15848.5,15885.0,15844.48,,15844.87,,,228,3604521.38,44,F1,1,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,10232,IN0020220045,SGBJUN30,GB,,,,,2.50%GOLDBONDS2030SR-I,15991.74,16000.0,15835.0,15995.28,15900.01,15901.71,,15985.52,,,222,3542958.84,73,F1,1,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,11192,IN0020220078,SGBAUG30,GB,,,,,2.50%GOLDBONDS2030SR-II,16025.01,16197.99,16025.01,16107.14,16177.0,16086.0,,16107.14,,,206,3313982.73,56,F1,1,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,13642,IN0020220110,SGBDE30III,GB,,,,,2.50%GOLDBONDS2030SR-III,15856.81,16274.0,15856.81,16191.24,16274.0,16180.42,,16191.24,,,121,1953364.57,56,F1,1,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,7879,IN0020210236,SGBJAN30IX,GB,,,,,2.50%GOLDBONDS2030SR-IX,16000.0,16000.0,15805.01,15947.6,15990.0,15911.47,,15944.5,,,219,3480030.73,71,F1,1,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,8401,IN0020210319,SGBMAR30X,GB,,,,,2.50%GOLDBONDS2030SR-X,16198.0,16198.0,15900.0,15981.35,15985.98,16036.8,,15981.35,,,97,1545663.31,45,F1,1,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,17202,IN0020230069,SGBJUN31I,GB,,,,,2.50%GOLDBONDS2031SR-I,15713.7,16197.99,15713.7,16183.21,16196.0,16116.62,,16169.64,,,842,13579419.33,203,F1,1,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,19456,IN0020230093,SGBSEP31II,GB,,,,,2.50%GOLDBONDS2031SR-II,16205.23,16300.0,16082.02,16289.42,16300.0,16191.4,,16288.21,,,1408,22818220.78,276,F1,1,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,22476,IN0020230168,SGBDE31III,GB,,,,,2.50%GOLDBONDS2031SR-III,16379.16,16400.0,16236.2,16380.26,16400.0,16379.16,,16374.21,,,1214,19846195.05,284,F1,1,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,14598,IN0020220169,SGBMAR31IV,GB,,,,,2.50%GOLDBONDS2031SR-IV,16100.4,16209.99,16100.4,16175.99,16162.0,16101.4,,16175.99,,,164,2647234.83,52,F1,1,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,22886,IN0020230184,SGBFEB32IV,GB,,,,,2.50%GOLDBONDS2032SR-IV,17921.0,18094.0,17799.0,17846.4,17865.0,17954.17,,17845.53,,,1148,20514234.83,336,F1,1,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,16921,INE144J01027,20MICRONS,EQ,,,,,20 MICRONS LTD,188.07,195.34,185.29,187.23,186.0,188.07,,187.25,,,221335,42112204.3,4390,F1,1,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,4,INE253B01015,21STCENMGM,EQ,,,,,21ST CENTURY MGMT SERVICE,38.8,39.67,38.2,38.78,38.4,38.9,,38.77,,,1862,71807.28,61,F1,1,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,13061,INE466L01038,360ONE,EQ,,,,,360 ONE WAM LIMITED,1135.0,1146.8,1110.6,1144.4,1142.1,1138.4,,1144.4,,,568928,644740077.2,25941,F1,1,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,30105,INF579M01BB5,GOLD360,EQ,,,,,360ONEAMC - GOLD360,151.85,152.65,150.8,151.85,152.0,151.75,,151.83,,,48747,7390970.2,924,F1,1,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,756150,INF579M01BC3,SILVER360,EQ,,,,,360ONEAMC - SILVER360,252.95,256.0,251.39,253.03,253.0,253.18,,253.04,,,80332,20383407.84,2306,F1,1,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,6232,INE748C01038,3IINFOLTD,EQ,,,,,3I INFOTECH LIMITED,15.96,15.96,15.39,15.5,15.66,16.04,,15.5,,,282591,4405740.75,1524,F1,1,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,474,INE470A01017,3MINDIA,EQ,,,,,3M INDIA LIMITED,37880.0,37880.0,35800.0,37515.0,37515.0,37580.0,,37504.55,,,21762,814752465.0,7420,F1,1,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,2595,INE105C01023,3PLAND,EQ,,,,,3P LAND HOLDINGS LIMITED,34.98,35.2,34.03,34.48,34.75,34.98,,34.47,,,1821,62795.36,49,F1,1,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,445,INE618L01018,5PAISA,EQ,,,,,5PAISA CAPITAL LIMITED,333.0,337.85,329.2,331.2,331.25,333.25,,331.2,,,33422,11102498.3,1554,F1,1,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,11868,INE111B01023,63MOONS,EQ,,,,,63 MOONS TECHNOLOGIES LTD,701.0,701.0,684.5,688.7,690.0,701.15,,688.55,,,59957,41440333.3,3635,F1,1,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,29323,INE053F07579,734IRFC28,N4,,,,,7.34 NCD 19FEB28 TR1 SR2,1069.7,1079.9,1069.7,1079.9,1079.9,1069.09,,1079.9,,,3,3229.5,3,F1,1,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,19926,INE020B07JU4,743REC35,NH,,,,,7.43% TAX FREE TRI SR3B,1156.0,1160.65,1156.0,1160.65,1160.65,1156.4,,1160.65,,,20,23166.5,2,F1,1,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,29312,INE031A07865,751HUDCO28,N5,,,,,7.51 NCD 16FEB28 TR1 SR2,1041.95,1041.95,1034.55,1034.74,1039.99,1042.95,,1034.74,,,1905,1971229.35,9,F1,1,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,20034,INE261F07032,764NABAR31,N2,,,,,7.64% TAX FREE TRI SRIIB,1150.0,1156.99,1148.0,1151.56,1151.55,1150.0,,1151.57,,,18935,21785807.6,160,F1,1,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,19928,INE031A07AO5,764HUDCO31,N8,,,,,7.64% TAX FREETRI SR2B,1093.51,1093.6,1093.51,1093.6,1093.6,1096.64,,1093.6,,,1000,1093555.0,2,F1,1,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,20030,INE202E07229,774IREDA31,N7,,,,,7.74% TAX FREE NCD,1097.99,1097.99,1097.99,1097.99,1097.99,1091.01,,1097.99,,,300,329397.0,1,F1,1,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,19924,INE020B07GH7,812REC27,NI,,,,,8.12/8.32% TAX FREE NCD,1077.0,1077.0,1075.0,1075.0,1075.0,1077.0,,1075.0,,,869,934824.0,3,F1,1,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,31240,INE031A07840,82HUDCO27,N2,,,,,8.20 NCD05MAR27 FV 1000,1110.0,1110.0,1100.1,1100.1,1100.1,1110.0,,1100.15,,,4394,4856235.28,30,F1,1,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,20022,INE134E07208,830PFCL27,N5,,,,,8.30% TAX FREE NCD,1048.5,1053.0,1048.5,1050.06,1050.0,1059.9,,1050.44,,,1548,1625637.5,7,F1,1,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,186,INE906B07DE1,850NHAI29,N5,,,,,8.50% TAX FREE TR I S IIA,1155.9,1155.9,1155.9,1155.9,1155.9,1185.4,,1155.9,,,300,346770.0,1,F1,1,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,31766,INE733E07JI1,873NTPC28,N5,,,,,8.73%S-R-NCD SERIES 2B,1099.0,1099.0,1099.0,1099.0,1099.0,1099.0,,1099.0,,,50,54950.0,1,F1,1,,,,,
